0,87.368965,87.368965,87.368965,1320993346.394861,1320993346.394864,1320993346.482233,1320993346.482382,1,
0,86.743832,86.743832,86.743832,1320993346.394861,1320993346.482402,1320993346.569146,1320993346.569156,1,
1,87.877035,86.885482,87.133370,1320993346.394861,1320993346.569170,1320993346.657047,1320993346.657063,2,
1,86.908817,86.888399,87.079420,1320993346.394861,1320993346.657077,1320993346.743986,1320993346.743998,2,
2,88.832855,87.131456,87.700071,1320993346.394861,1320993346.744012,1320993346.832845,1320993346.832858,3,
2,84.897995,86.852273,87.767305,1320993346.394861,1320993346.832871,1320993346.917769,1320993346.917787,3,
3,91.940165,87.488260,89.287509,1320993346.394861,1320993346.917801,1320993347.009741,1320993347.009755,4,
3,90.858936,87.909594,89.996367,1320993346.394861,1320993347.009769,1320993347.100628,1320993347.100648,5,
3,87.872028,87.904899,89.478196,1320993346.394861,1320993347.100662,1320993347.188534,1320993347.188552,5,
4,88.859081,88.024171,89.412872,1320993346.394861,1320993347.188566,1320993347.277425,1320993347.277444,5,
5,85.824013,87.749152,89.271961,1320993346.394861,1320993347.277477,1320993347.363301,1320993347.363312,5,
6,87.914944,87.769876,88.948250,1320993346.394861,1320993347.363325,1320993347.451240,1320993347.451250,5,
7,88.909149,87.912285,89.045282,1320993346.394861,1320993347.451263,1320993347.540172,1320993347.540188,5,
8,85.877180,87.657897,88.952824,1320993346.394861,1320993347.540202,1320993347.626079,1320993347.626094,5,
9,84.900141,87.313177,88.887631,1320993346.394861,1320993347.626107,1320993347.711007,1320993347.711027,5,
10,106.858969,89.756401,95.212884,1320993346.394861,1320993347.711041,1320993347.817900,1320993347.817910,6,
10,84.892988,89.148475,94.304708,1320993346.394861,1320993347.817924,1320993347.902817,1320993347.902829,6,
11,126.982927,93.877781,106.021243,1320993346.394861,1320993347.902843,1320993348.029826,1320993348.029836,7,
11,97.740889,94.360670,104.313321,1320993346.394861,1320993348.029850,1320993348.127591,1320993348.127601,7,
12,89.936972,93.807707,102.239880,1320993346.394861,1320993348.127615,1320993348.217552,1320993348.217572,7,
13,84.845066,92.687377,100.972084,1320993346.394861,1320993348.217586,1320993348.302431,1320993348.302452,7,
14,87.901831,92.089184,99.349552,1320993346.394861,1320993348.302467,1320993348.390369,1320993348.390382,7,
15,87.862968,91.560907,97.930668,1320993346.394861,1320993348.390396,1320993348.478259,1320993348.478270,7,
16,84.887981,90.726791,96.963814,1320993346.394861,1320993348.478283,1320993348.563171,1320993348.563181,7,
17,85.983992,90.133941,95.849196,1320993346.394861,1320993348.563194,1320993348.649178,1320993348.649192,7,
18,84.830999,89.471074,94.917533,1320993346.394861,1320993348.649206,1320993348.734037,1320993348.734048,7,
19,88.865042,89.395320,93.612734,1320993346.394861,1320993348.734061,1320993348.822926,1320993348.822936,7,
20,88.937998,89.338154,92.601254,1320993346.394861,1320993348.822949,1320993348.911887,1320993348.911907,7,
21,88.907957,89.284380,91.825810,1320993346.394861,1320993348.911921,1320993349.000829,1320993349.000840,7,
22,90.833902,89.478070,91.723101,1320993346.394861,1320993349.000853,1320993349.091687,1320993349.091697,7,
23,89.877844,89.528042,91.299265,1320993346.394861,1320993349.091710,1320993349.181588,1320993349.181598,7,
24,85.922956,89.077406,91.194436,1320993346.394861,1320993349.181611,1320993349.267534,1320993349.267554,7,
25,85.856915,88.674845,90.967100,1320993346.394861,1320993349.267568,1320993349.353425,1320993349.353436,7,
26,87.872982,88.574612,90.469211,1320993346.394861,1320993349.353467,1320993349.441340,1320993349.441357,7,
27,88.967085,88.623671,90.130474,1320993346.394861,1320993349.441372,1320993349.530339,1320993349.530357,7,
28,87.800980,88.520835,89.830900,1320993346.394861,1320993349.530372,1320993349.618173,1320993349.618193,7,
29,90.934992,88.822604,90.333250,1320993346.394861,1320993349.618207,1320993349.709142,1320993349.709153,8,
29,84.858894,88.327140,90.327187,1320993346.394861,1320993349.709167,1320993349.794026,1320993349.794036,8,
30,87.872028,88.270251,89.869842,1320993346.394861,1320993349.794050,1320993349.881922,1320993349.882001,8,
31,92.897892,88.848707,91.060696,1320993346.394861,1320993349.882015,1320993349.974913,1320993349.974930,9,
31,87.818861,88.719976,90.604246,1320993346.394861,1320993349.974944,1320993350.062763,1320993350.062783,9,
32,87.841034,88.610108,90.215580,1320993346.394861,1320993350.062798,1320993350.150639,1320993350.150650,9,
33,85.905075,88.271979,90.067809,1320993346.394861,1320993350.150663,1320993350.236568,1320993350.236587,9,
34,85.852861,87.969589,89.845643,1320993346.394861,1320993350.236601,1320993350.322454,1320993350.322467,9,
35,110.898018,90.835643,97.258277,1320993346.394861,1320993350.322481,1320993350.433379,1320993350.433392,10,
35,84.877968,90.090933,96.211151,1320993346.394861,1320993350.433405,1320993350.518283,1320993350.518293,10,
36,128.876925,94.939182,108.013781,1320993346.394861,1320993350.518306,1320993350.647183,1320993350.647204,11,
36,89.884043,94.307290,105.219051,1320993346.394861,1320993350.647219,1320993350.737103,1320993350.737119,11,
37,88.901997,93.631628,102.997857,1320993346.394861,1320993350.737133,1320993350.826035,1320993350.826045,11,
38,85.870981,92.661547,101.383860,1320993346.394861,1320993350.826059,1320993350.911930,1320993350.911944,11,
39,84.861994,91.686603,99.934490,1320993346.394861,1320993350.911958,1320993350.996820,1320993350.996831,11,
40,117.955923,94.970268,106.902597,1320993346.394861,1320993350.996844,1320993351.114800,1320993351.114813,12,
40,103.850126,96.080250,106.971966,1320993346.394861,1320993351.114827,1320993351.218677,1320993351.218696,12,
