PING 117.211.91.133 (117.211.91.133) 56(84) bytes of data.
64 bytes from 117.211.91.133: icmp_req=84 ttl=59 time=60.7 ms
64 bytes from 117.211.91.133: icmp_req=85 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=86 ttl=59 time=64.9 ms
64 bytes from 117.211.91.133: icmp_req=87 ttl=59 time=61.0 ms
64 bytes from 117.211.91.133: icmp_req=88 ttl=59 time=60.8 ms
64 bytes from 117.211.91.133: icmp_req=89 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=90 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=91 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=92 ttl=59 time=61.1 ms
64 bytes from 117.211.91.133: icmp_req=93 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=94 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=95 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=96 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=97 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=98 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=99 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=100 ttl=59 time=62.9 ms
64 bytes from 117.211.91.133: icmp_req=101 ttl=59 time=63.0 ms
64 bytes from 117.211.91.133: icmp_req=102 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=103 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=104 ttl=59 time=61.4 ms
64 bytes from 117.211.91.133: icmp_req=105 ttl=59 time=63.9 ms
64 bytes from 117.211.91.133: icmp_req=106 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=107 ttl=59 time=61.0 ms
64 bytes from 117.211.91.133: icmp_req=108 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=109 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=110 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=111 ttl=59 time=60.9 ms
