0,0.909805,0.909805,1.819611,1320936331.380866,1320936331.380870,1320936331.381780,1320936331.381918,1
0,0.887156,0.887156,1.774311,1320936331.380866,1320936331.381939,1320936331.382826,1320936331.382834,1
1,0.887871,0.887370,1.774740,1320936331.380866,1320936331.382847,1320936331.383735,1320936331.383743,1
2,0.966072,0.910981,1.821961,1320936331.380866,1320936331.383756,1320936331.384722,1320936331.384730,1
3,0.710964,0.850976,1.701952,1320936331.380866,1320936331.384743,1320936331.385454,1320936331.385462,1
4,0.754118,0.821918,1.643837,1320936331.380866,1320936331.385475,1320936331.386229,1320936331.386237,1
5,0.850916,0.830618,1.661235,1320936331.380866,1320936331.386250,1320936331.387101,1320936331.387108,1
6,0.893116,0.849367,1.698734,1320936331.380866,1320936331.387122,1320936331.388015,1320936331.388022,1
7,0.958920,0.882233,1.764466,1320936331.380866,1320936331.388035,1320936331.388994,1320936331.389001,1
8,0.685930,0.823342,1.646684,1320936331.380866,1320936331.389014,1320936331.389700,1320936331.389706,1
9,0.848055,0.830756,1.661512,1320936331.380866,1320936331.389719,1320936331.390567,1320936331.390574,1
10,0.890017,0.848534,1.697068,1320936331.380866,1320936331.390587,1320936331.391477,1320936331.391484,1
11,1.368999,1.004674,2.009347,1320936331.380866,1320936331.391497,1320936331.392866,1320936331.392874,1
12,1.204967,1.064762,2.129524,1320936331.380866,1320936331.392888,1320936331.394093,1320936331.394101,1
13,0.684977,0.950826,1.901653,1320936331.380866,1320936331.394115,1320936331.394800,1320936331.394808,1
14,1.418829,1.091227,2.182454,1320936331.380866,1320936331.395405,1320936331.396824,1320936331.396831,1
15,0.689030,0.970568,1.941136,1320936331.380866,1320936331.396844,1320936331.397533,1320936331.397540,1
16,2.760172,1.507449,3.014898,1320936331.380866,1320936331.397554,1320936331.400314,1320936331.400321,2
16,0.684977,1.260707,2.521415,1320936331.380866,1320936331.400335,1320936331.401020,1320936331.401028,2
17,0.678062,1.085914,2.171828,1320936331.380866,1320936331.401041,1320936331.401719,1320936331.401726,2
18,0.687122,0.966276,1.932553,1320936331.380866,1320936331.401739,1320936331.402426,1320936331.402434,2
19,1.048088,0.990820,1.981640,1320936331.380866,1320936331.402447,1320936331.403495,1320936331.403500,2
20,1.020193,0.999632,1.999264,1320936331.380866,1320936331.403509,1320936331.404529,1320936331.404534,2
21,0.663996,0.898941,1.797882,1320936331.380866,1320936331.404543,1320936331.405207,1320936331.405212,2
22,0.664949,0.828744,1.657487,1320936331.380866,1320936331.405220,1320936331.405885,1320936331.405894,2
23,0.699997,0.790120,1.580239,1320936331.380866,1320936331.405904,1320936331.406604,1320936331.406614,2
24,0.705004,0.764585,1.529170,1320936331.380866,1320936331.406624,1320936331.407329,1320936331.407338,2
25,0.723124,0.752146,1.504293,1320936331.380866,1320936331.407348,1320936331.408071,1320936331.408078,2
26,0.694990,0.735000,1.469999,1320936331.380866,1320936331.408088,1320936331.408783,1320936331.408795,2
27,1.426220,0.942366,1.884731,1320936331.380866,1320936331.408805,1320936331.410231,1320936331.410241,2
28,0.766039,0.889468,1.778935,1320936331.380866,1320936331.410251,1320936331.411017,1320936331.411029,2
29,0.684977,0.828120,1.656241,1320936331.380866,1320936331.411040,1320936331.411725,1320936331.411733,2
30,0.677109,0.782817,1.565634,1320936331.380866,1320936331.411743,1320936331.412420,1320936331.412431,2
31,0.688076,0.754395,1.508789,1320936331.380866,1320936331.412441,1320936331.413129,1320936331.413140,2
32,0.685930,0.733855,1.467711,1320936331.380866,1320936331.413150,1320936331.413836,1320936331.413847,2
33,0.692129,0.721337,1.442675,1320936331.380866,1320936331.413858,1320936331.414550,1320936331.414561,2
34,0.685930,0.710715,1.421431,1320936331.380866,1320936331.414570,1320936331.415256,1320936331.415264,2
35,0.689030,0.704210,1.408419,1320936331.380866,1320936331.415274,1320936331.415963,1320936331.415973,2
36,0.694036,0.701158,1.402315,1320936331.380866,1320936331.415983,1320936331.416677,1320936331.416688,2
37,0.701904,0.701382,1.402763,1320936331.380866,1320936331.416697,1320936331.417399,1320936331.417407,2
38,0.699997,0.700966,1.401932,1320936331.380866,1320936331.417473,1320936331.418173,1320936331.418179,2
39,0.687838,0.697028,1.394055,1320936331.380866,1320936331.418188,1320936331.418876,1320936331.418880,2
40,0.680923,0.692196,1.384393,1320936331.380866,1320936331.418889,1320936331.419570,1320936331.419575,2
41,0.679970,0.688528,1.377057,1320936331.380866,1320936331.419583,1320936331.420263,1320936331.420268,2
42,0.665188,0.681526,1.363052,1320936331.380866,1320936331.420276,1320936331.420941,1320936331.420945,2
43,0.664949,0.676553,1.353106,1320936331.380866,1320936331.420954,1320936331.421619,1320936331.421624,2
44,0.690937,0.680868,1.361737,1320936331.380866,1320936331.421632,1320936331.422323,1320936331.422328,2
45,0.694990,0.685105,1.370210,1320936331.380866,1320936331.422336,1320936331.423031,1320936331.423039,2
46,0.822067,0.726194,1.452387,1320936331.380866,1320936331.423048,1320936331.423870,1320936331.423874,2
47,0.891924,0.775913,1.551825,1320936331.380866,1320936331.423883,1320936331.424775,1320936331.424779,2
48,0.948906,0.827811,1.655621,1320936331.380866,1320936331.424788,1320936331.425737,1320936331.425742,2
49,0.725985,0.797263,1.594526,1320936331.380866,1320936331.425750,1320936331.426476,1320936331.426481,2
50,0.731945,0.777667,1.555335,1320936331.380866,1320936331.426489,1320936331.427221,1320936331.427226,2
51,0.875950,0.807152,1.614304,1320936331.380866,1320936331.427234,1320936331.428110,1320936331.428117,2
