0,0.740051,0.740051,0.740051,1320933899.274996,1320933899.274999,1320933899.275739,1320933899.275878,1,
0,0.751972,0.751972,0.751972,1320933899.274996,1320933899.275899,1320933899.276651,1320933899.276660,2,
0,0.890017,0.890017,0.890017,1320933899.274996,1320933899.276673,1320933899.277563,1320933899.277571,3,
0,0.912905,0.912905,0.912905,1320933899.274996,1320933899.277585,1320933899.278498,1320933899.278506,4,
0,0.686884,0.686884,0.686884,1320933899.274996,1320933899.278520,1320933899.279207,1320933899.279215,4,
1,0.683069,0.686407,0.689745,1320933899.274996,1320933899.279229,1320933899.279912,1320933899.279920,4,
2,0.838995,0.705481,0.841498,1320933899.274996,1320933899.279934,1320933899.280773,1320933899.280780,5,
2,0.988007,0.740796,1.090020,1320933899.274996,1320933899.280793,1320933899.281781,1320933899.281788,6,
2,0.974178,0.769969,1.236096,1320933899.274996,1320933899.281802,1320933899.282776,1320933899.282783,6,
3,0.976801,0.795823,1.326396,1320933899.274996,1320933899.282797,1320933899.283774,1320933899.283781,6,
4,0.727177,0.787242,1.245238,1320933899.274996,1320933899.283794,1320933899.284521,1320933899.284528,6,
5,0.897169,0.800983,1.240666,1320933899.274996,1320933899.284541,1320933899.285438,1320933899.285445,6,
6,0.891924,0.812351,1.221686,1320933899.274996,1320933899.285458,1320933899.286350,1320933899.286357,6,
7,0.719070,0.800691,1.189312,1320933899.274996,1320933899.286370,1320933899.287089,1320933899.287096,6,
8,0.687122,0.786495,1.177333,1320933899.274996,1320933899.287109,1320933899.287796,1320933899.287803,6,
9,0.702858,0.776040,1.142351,1320933899.274996,1320933899.287816,1320933899.288519,1320933899.288526,6,
10,0.698090,0.766296,1.109236,1320933899.274996,1320933899.288539,1320933899.289237,1320933899.289244,6,
11,0.703096,0.758396,1.070901,1320933899.274996,1320933899.289258,1320933899.289961,1320933899.289968,6,
12,0.699043,0.750977,1.037290,1320933899.274996,1320933899.289981,1320933899.290680,1320933899.290687,6,
13,0.698090,0.744366,1.005377,1320933899.274996,1320933899.290701,1320933899.291399,1320933899.291406,6,
14,0.684977,0.736942,0.984667,1320933899.274996,1320933899.291419,1320933899.292104,1320933899.292111,6,
15,0.689983,0.731073,0.957955,1320933899.274996,1320933899.292125,1320933899.292815,1320933899.292822,6,
16,0.688076,0.725698,0.933482,1320933899.274996,1320933899.292835,1320933899.293523,1320933899.293530,6,
17,0.702858,0.722843,0.898666,1320933899.274996,1320933899.293543,1320933899.294246,1320933899.294254,6,
18,0.684977,0.718110,0.883110,1320933899.274996,1320933899.294267,1320933899.294952,1320933899.294959,6,
19,0.683069,0.713730,0.868140,1320933899.274996,1320933899.294972,1320933899.295655,1320933899.295662,6,
20,0.710964,0.713384,0.831612,1320933899.274996,1320933899.295675,1320933899.296386,1320933899.296393,6,
21,0.696898,0.711323,0.814420,1320933899.274996,1320933899.296406,1320933899.297103,1320933899.297110,6,
22,0.694990,0.709282,0.800895,1320933899.274996,1320933899.297124,1320933899.297819,1320933899.297826,6,
23,0.694036,0.707376,0.789426,1320933899.274996,1320933899.297839,1320933899.298533,1320933899.298540,6,
24,0.703096,0.706841,0.772123,1320933899.274996,1320933899.298553,1320933899.299256,1320933899.299262,6,
25,0.686884,0.704346,0.770770,1320933899.274996,1320933899.299276,1320933899.299963,1320933899.299970,6,
26,0.697136,0.703445,0.759572,1320933899.274996,1320933899.299984,1320933899.300681,1320933899.300688,6,
27,0.887156,0.726409,0.929251,1320933899.274996,1320933899.300701,1320933899.301588,1320933899.301595,7,
27,0.910997,0.749482,1.063129,1320933899.274996,1320933899.301609,1320933899.302520,1320933899.302527,7,
28,0.699997,0.743297,1.021831,1320933899.274996,1320933899.302540,1320933899.303240,1320933899.303247,7,
29,0.696898,0.737497,0.986997,1320933899.274996,1320933899.303261,1320933899.303958,1320933899.303965,7,
30,0.701189,0.732958,0.951853,1320933899.274996,1320933899.303979,1320933899.304680,1320933899.304687,7,
31,0.698090,0.728600,0.923281,1320933899.274996,1320933899.304700,1320933899.305398,1320933899.305405,7,
32,0.699997,0.725024,0.896063,1320933899.274996,1320933899.305418,1320933899.306118,1320933899.306187,7,
33,0.704050,0.722403,0.869034,1320933899.274996,1320933899.306201,1320933899.306905,1320933899.306914,7,
34,0.688076,0.718112,0.858121,1320933899.274996,1320933899.306928,1320933899.307616,1320933899.307623,7,
35,0.698090,0.715609,0.838135,1320933899.274996,1320933899.307636,1320933899.308334,1320933899.308341,7,
36,0.697851,0.713389,0.820822,1320933899.274996,1320933899.308355,1320933899.309053,1320933899.309060,7,
37,0.708103,0.712729,0.797929,1320933899.274996,1320933899.309073,1320933899.309781,1320933899.309788,7,
38,0.689983,0.709885,0.793687,1320933899.274996,1320933899.309802,1320933899.310492,1320933899.310499,7,
39,0.698090,0.708411,0.781584,1320933899.274996,1320933899.310513,1320933899.311211,1320933899.311218,7,
40,0.699997,0.707359,0.769601,1320933899.274996,1320933899.311232,1320933899.311932,1320933899.311939,7,
41,0.702858,0.706797,0.757416,1320933899.274996,1320933899.311952,1320933899.312655,1320933899.312662,7,
42,0.695944,0.705440,0.752901,1320933899.274996,1320933899.312676,1320933899.313372,1320933899.313379,7,
43,0.697136,0.704402,0.747264,1320933899.274996,1320933899.313392,1320933899.314089,1320933899.314096,7,
44,0.697851,0.703583,0.741461,1320933899.274996,1320933899.314110,1320933899.314808,1320933899.314815,7,
45,0.681162,0.700780,0.748808,1320933899.274996,1320933899.314828,1320933899.315509,1320933899.315516,7,
