1000,9537
2000,15520
3000,20753
4000,25804
5000,30515
6000,34855
7000,39370
8000,43887
9000,48156
10000,52355
11000,55986
12000,59894
13000,63923
14000,67518
15000,71132
16000,74864
17000,78239
18000,81852
19000,85058
